customer_name,product_description,phone_number,address
  John Smith  ,Laptop Pro 15 - $1299,08123456789,"  Jl. Sudirman No. 123, JAKARTA  "
JANE DOE,Phone X - $999,081-234-567-89,jl sudirman 456 jakarta selatan
bob wilson,Tablet Mini $499,+62 812 345 6789,"JL. THAMRIN 789, JKT"
  Alice   Brown  ,Headphones Wireless - $199,0812-3456-789,"Jalan Gatot Subroto No 101,  jakarta"
CHARLIE davis,Monitor 27inch $599,62812345678,"  jkt barat, jl. kebon jeruk 202  "
  emma JOHNSON,Keyboard RGB - $89,081.234.5678.90,"BANDUNG, Jl. Asia Afrika 303"
Frank Miller  ,Mouse Gaming $49,+62-812-345-6789,jl braga no 404 bandung
   GRACE lee,Webcam HD - $129,08123456790,"  Jl. Dago 505, BDG  "
henry TAYLOR,Speaker Bluetooth $79,081 234 567 891,"Surabaya, JL. PEMUDA 606"
Ivy   Clark  ,Charger Fast - $35,0812-345-67892,jl. tunjungan 707 sby
jack WHITE,Cable USB-C $15,+62812 3456 7893,"  SBY, jalan darmo 808  "
  KATE green  ,Stand Laptop - $65,081-2345-6789,YOGYAKARTA jl malioboro 909
Leo   HARRIS,Bag Laptop $89,08123456794,"jogja, Jl. Solo 1010"
mia ROBINSON,Cover Phone - $25,0812.345.67895,  JL. MAGELANG JOGJAKARTA 1111  
  NOAH martinez  ,Screen Protector $12,+62 8123456796,Semarang Jl Pandanaran 1212
olivia GARCIA,Earbuds Pro - $149,081-234-56797,jl pemuda smg 1313
  peter LOPEZ  ,Watch Smart $299,62-812-345-6798,"  SEMARANG, jl. simpang lima 1414  "
QUINN adams,Tracker Fitness - $99,08123456799,Medan Jl. Gatot Subroto 1515
ryan   BAKER  ,Camera Action $399,+628123456700,jl asia mdn 1616
  sophia NELSON,Drone Mini - $599,0812 3456 7801,"  MDN, JL. ISKANDAR MUDA 1717  "
